onet_code,Title,OCC_CODE,L0,w1999,w2003,w2007,one_to_one_all,dW_robot,proj_robot,dW_software,proj_software,dW_clone,proj_clone,dW_llm,proj_llm,dlnw_full,dlnw_early,dlnw_late
11-3021.00,Computer and Information Systems Managers,11-3021,0.0018099931317973035,34.97,43.15,51.96,True,-0.010552934650690432,-0.00011110198112509841,-0.128676581302759,-0.0017352122724869426,-0.28534060553240903,-0.003184548780704774,-0.3646833863789455,-0.004288019558469018,0.39598364072711423,0.21019186645415244,0.18579177427296178
11-3031.00,Financial Managers,11-3031,0.004164041246341599,30.62,37.16,45.82000000000001,True,-0.007284233194452192,-0.00012747227830348524,-0.08584123847447948,-0.0015732053035233744,-0.10012066683318183,-0.0018444721333049907,-0.19264994422118548,-0.0034852020525747334,0.40306728679581205,0.1935795237161,0.20948776307971206
11-3031.01,Treasurers and Controllers,11-3031,0.004164041246341599,30.62,37.16,45.82000000000001,True,-0.002655776328814519,-3.989569491908068e-05,-0.025729123894058396,-0.0004227594762787057,-0.06174429286307038,-0.0009738081572910906,-0.08987403828751293,-0.00142678950248165,0.40306728679581205,0.1935795237161,0.20948776307971206
11-3031.03,Investment Fund Managers,11-3031,0.004164041246341599,30.62,37.16,45.82000000000001,True,-0.019157377620693822,-0.00020536622494626798,-0.27056587544957134,-0.0030160427548971114,-0.457212578167087,-0.004212015403047297,-0.5835227902418677,-0.005639343882276056,0.40306728679581205,0.1935795237161,0.20948776307971206
11-3051.00,Industrial Production Managers,11-3051,0.0013761542396198358,28.64,33.9,38.73,True,-0.022516386067867607,-0.0001767106669954173,-0.3934931719390367,-0.004190080947984021,-0.17161863928776794,-0.0026675069219680423,-0.26088491564351196,-0.0037680938492710555,0.30181015143421597,0.16861067229395976,0.1331994791402562
11-3051.01,Quality Control Systems Managers,11-3051,0.0013761542396198358,28.64,33.9,38.73,True,-0.04909506946602095,-0.00012545404855669786,-1.0975917924865959,-0.005084405997090616,-0.18060067094989293,-0.0009062796795695077,-0.4499559974142276,-0.002102258087073033,0.30181015143421597,0.16861067229395976,0.1331994791402562
11-3051.02,Geothermal Production Managers,11-3051,0.0013761542396198358,28.64,33.9,38.73,True,-0.037242413210114345,6.490905244487492e-05,-0.5389548961412496,-0.004223837865481702,-0.02279635126242291,-0.0002269581321629446,-0.08887497420406594,-0.0008062563419471628,0.30181015143421597,0.16861067229395976,0.1331994791402562
11-3051.03,Biofuels Production Managers,11-3051,0.0013761542396198358,28.64,33.9,38.73,True,-0.04225900461942923,0.00019153666796360716,-0.4856573648901068,-0.006114141283473804,-0.009412985149121117,-0.0001282189803154024,-0.04855396707561918,-0.0005860584151715803,0.30181015143421597,0.16861067229395976,0.1331994791402562
11-3051.04,Biomass Power Plant Managers,11-3051,0.0013761542396198358,28.64,33.9,38.73,True,-0.047798574504343945,0.00032995078247016773,-0.5726925912384687,-0.008813308379191058,-0.011302790758819306,-0.0001801163914872484,-0.05433118017876749,-0.0007975242825386744,0.30181015143421597,0.16861067229395976,0.1331994791402562
11-3051.06,Hydroelectric Production Managers,11-3051,0.0013761542396198358,28.64,33.9,38.73,True,-0.04048742994258252,0.00016154945034116348,-0.3484363574554423,-0.002777324534072948,-0.08802198338373343,-0.0012178977545374376,-0.193614387707687,-0.002617372236807161,0.30181015143421597,0.16861067229395976,0.1331994791402562
11-3061.00,Purchasing Managers,11-3061,0.0008891409177816324,22.31,31.219999999999995,41.07999999999999,True,-0.006565860707003383,-0.00017789601223279367,-0.09826637968318519,-0.0031105671547642846,-0.020919643143600928,-0.0005883374408842366,-0.07287949700013063,-0.0020709093025172982,0.6104863766159161,0.33602390664284476,0.27446246997307133
11-3071.04,Supply Chain Managers,11-3071,0.0007956828292870063,24.51000000000001,30.57,36.69,True,-0.02054531373343958,-5.721158635473285e-05,-0.191695790470298,-0.0017956217991696487,-0.09632711480969847,-0.0012600240512222285,-0.19431606774771484,-0.002261425148181443,0.40342304082716884,0.22093793836272146,0.18248510246444738
11-9021.00,Construction Managers,11-9021,0.0015500507380739744,26.75,31.960000000000004,36.649999999999984,True,-0.024635283812806216,-0.00015876686914675412,-0.4484607020735067,-0.004287764807032909,-0.1986745153935275,-0.002047335136223246,-0.33634657903198234,-0.0032832410413551763,0.31487895499064456,0.1779506475560586,0.13692830743458595
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",11-9031,0.00022803773592688768,15.81,16.59,18.55,True,-0.008549289052528568,-0.00014141969316007689,-0.06517167641740072,-0.0009814898852549543,-0.5210001481882416,-0.008245806098369406,-0.29719329723133225,-0.004506412377878829,0.15982713783206348,0.048157452980972515,0.11166968485109097
11-9032.00,"Education Administrators, Kindergarten through Secondary",11-9032,0.001200259671687536,30.923076923076923,35.331730769230774,38.74038461538462,True,-0.0036367113986432564,-4.511028369748313e-05,-0.02812711224952666,-0.0003577452672623593,-0.23973257942388537,-0.003076409004354836,-0.1705912188726702,-0.0021709359819346184,0.22537985489249035,0.13327871767006894,0.09210113722242141
11-9033.00,"Education Administrators, Postsecondary",11-9033,0.000616758930210398,26.520000000000003,32.040000000000006,36.42999999999998,True,-0.0016843789401580305,-2.6576805919325163e-05,-0.012156381535593898,-0.00015709321381530015,-0.1614198329156877,-0.0020033272574978386,-0.10296810298450033,-0.001273420420157492,0.31749344570281,0.18908595688249674,0.12840748882031328
11-9041.00,Architectural and Engineering Managers,11-9041,0.001599809113465596,38.52,45.42000000000002,53.370000000000005,True,-0.03705962480529525,-0.000194790016065038,-0.5665013798419979,-0.004180541610283972,-0.49584076673817884,-0.002459598623255865,-0.7570217724870756,-0.004167956199501,0.32607120341592877,0.1647749497474882,0.16129625366844058
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,11-9041,0.001599809113465596,38.52,45.42000000000002,53.370000000000005,True,-0.04798805928541533,-5.279102169841444e-05,-1.157436905503052,-0.0025993820390638324,-0.2138174906882996,-0.0006089145763647422,-0.5608778821373743,-0.0013628174341429665,0.32607120341592877,0.1647749497474882,0.16129625366844058
11-9051.00,Food Service Managers,11-9051,0.0018558842759408716,14.920000000000002,17.91,21.43000000000001,True,-0.002769086268902339,-8.069959124732471e-05,-0.046693315147692406,-0.0011867109590279435,-0.01103948290546291,-0.0002988744481597494,-0.03905571163848931,-0.0010012176249492874,0.3620892147098713,0.18265662129700555,0.17943259341286577
11-9071.00,Gambling Managers,11-9071,2.9584319047609228e-05,22.51,27.459999999999987,30.969999999999995,True,-0.00022043530352641684,-9.943517605406715e-06,-0.0019875932133246,-2.7827677494008455e-05,0.0008811361539705013,2.2455711798209385e-05,-0.003835207028440341,-5.738297078808816e-05,0.3190593390664702,0.19877074542118356,0.12028859364528666
11-9081.00,Lodging Managers,11-9081,0.00018156650709611152,14.489999999999998,17.160000000000004,21.27,True,0.0006996308550299821,4.677036419424721e-06,0.0011340581596939042,1.6180413724236078e-05,0.0015941999818245788,2.5446369271624475e-05,0.0003646103484563174,3.5426833466078418e-06,0.38383887287955476,0.1691223377272255,0.21471653515232925
11-9111.00,Medical and Health Services Managers,11-9111,0.0014865636917517628,25.82,31.04,37.01,True,-0.0063225906638810815,-6.117743311933672e-05,-0.0475937602814665,-0.00044966606364665017,-0.34970583635040686,-0.004096094320325946,-0.2203042440462643,-0.0022788071217119104,0.3600387609795681,0.18412730989652148,0.17591145108304662
11-9121.00,Natural Sciences Managers,11-9121,0.00023796362946355832,33.75,41.28,50.02000000000002,True,-0.036532371291841254,-0.00019153985504789044,-0.4363196911521903,-0.002467891197151816,-1.1504548729964108,-0.005952103059598522,-1.1268948709838853,-0.006139041070074381,0.3934425081309345,0.2013977038547683,0.19204480427616621
11-9121.01,Clinical Research Coordinators,11-9121,0.00023796362946355832,33.75,41.28,50.02000000000002,True,-0.01527636994241603,-0.00014424869194566952,-0.12214145626640717,-0.001155355809543734,-1.1665871829107317,-0.010575048111704883,-0.6333672909461726,-0.00560800112041347,0.3934425081309345,0.2013977038547683,0.19204480427616621
11-9121.02,Water Resource Specialists,11-9121,0.00023796362946355832,33.75,41.28,50.02000000000002,True,-0.043543181524355656,-0.00010497126584539718,-0.7546766450273413,-0.002211679799992223,-0.8361280713906972,-0.0025887104425251265,-1.070609033242649,-0.003535402770083399,0.3934425081309345,0.2013977038547683,0.19204480427616621
11-9131.00,Postmasters and Mail Superintendents,11-9131,0.00017357422918346763,21.160000000000004,24.09999999999999,27.84,True,0.0011890907134496297,5.259891364319639e-06,0.0015336603881796291,1.7070979848020593e-05,0.002374144519366951,3.350158164258448e-05,0.0015710862265321548,1.757978415001732e-05,0.2743612284761201,0.1300992335065101,0.14426199496961
11-9141.00,"Property, Real Estate, and Community Association Managers",11-9141,0.0009219479295359529,16.73,18.46,21.0,True,-0.0033452039030297358,-8.421950655256219e-05,-0.023223384421257348,-0.0007117127591344472,-0.04341392718335397,-0.0012918363867868384,-0.061050694754086615,-0.0017885698231095665,0.22731892272469034,0.09840271407597356,0.12891620864871678
11-9151.00,Social and Community Service Managers,11-9151,0.0005693853474217427,17.74,21.85,26.21999999999999,True,-0.008316048580556304,-0.00011031366281400193,-0.05785789211816447,-0.0007517554322754886,-0.8421212625908159,-0.01109058513266105,-0.3852724334275703,-0.004863178689079426,0.3907005014541203,0.20837894466016582,0.18232155679395445
11-9161.00,Emergency Management Directors,11-9161,7.341293985888215e-05,17.83999999999999,21.68,23.26000000000001,True,-0.013708442861888574,-6.94915320382554e-05,-0.1414600333263093,-0.0008380547639372124,-0.6628089727734895,-0.003754332421536814,-0.5464651505454603,-0.003135729003174602,0.26529201993865614,0.19494704941958263,0.07034497051907351
11-9171.00,Funeral Home Managers,11-9171,0.0001530134497146499,17.749999999999996,21.48,24.210000000000004,False,-0.0020525064746602637,-8.02545104632488e-05,-0.03545356104252386,-0.0008357737589129775,-0.07074057809441149,-0.001783370054682743,-0.09973363333650093,-0.002403337248744642,0.3103802550285426,0.19073675371923926,0.11964350130930335
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",13-1011,4.692240580971572e-05,25.0,26.27,31.940000000000005,True,-0.0010750349218598915,-3.424685017346248e-05,-0.01449250823900176,-0.00017629327388170784,-0.021460933928994078,-0.0003203189530786576,-0.02330496430312835,-0.0003267723572475934,0.244983317918666,0.04955177882924788,0.19543153908941813
13-1021.00,"Buyers and Purchasing Agents, Farm Products",13-1021,0.00013889805565925464,16.94,20.6,23.26999999999999,True,-0.005103079971004212,-1.1110953483315733e-05,-0.09181226019197514,-0.00028092617329535796,-0.006845230020052941,-4.69489116653951e-05,-0.0302906597729725,-0.0001670355944892265,0.3174872880902915,0.19561338657162697,0.1218739015186645
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",13-1022,0.0008576874369641307,16.520000000000003,20.28,22.579999999999995,True,-0.01047120181467059,-0.00024614453558232155,-0.10302201068557612,-0.0025288787772203484,-0.0572450505393719,-0.0014439021072513603,-0.11891362394413343,-0.0027854044611099645,0.3124927906286836,0.20506341063015032,0.1074293799985333
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",13-1023,0.0014444753250021142,19.01,22.430000000000003,25.22,True,-0.010878020960986454,-0.00015210953587064922,-0.13564609143591183,-0.002283286576060905,-0.06953500985400453,-0.0012002247737386538,-0.1704714600362146,-0.002820179109964143,0.28267217403643574,0.16543419203177923,0.11723798200465652
13-1031.00,"Claims Adjusters, Examiners, and Investigators",13-1031,0.0009975523004353986,18.690000000000005,21.180000000000003,25.75,True,-0.009355852863308645,-9.517449488335166e-05,-0.09152818954378561,-0.0009787724725455226,-0.16204748400478283,-0.002050624486416263,-0.18321665492600955,-0.002020325543481697,0.3204460056422733,0.12506871870578884,0.19537728693648448
13-1032.00,"Insurance Appraisers, Auto Damage",13-1032,0.00012446039233318827,19.22,20.990000000000013,24.760000000000005,True,-0.022219954126185004,-3.059399152783009e-05,-0.08118210443616795,-0.0012502351020538885,0.0008422105115659127,-2.2440482709372096e-05,-0.0014358573913324812,-6.0257928111663914e-05,0.25327804427424905,0.0880947302903956,0.16518331398385344
13-1041.01,Environmental Compliance Inspectors,13-1041,0.0007945871137667245,18.559999999999995,22.49,23.27,False,-0.02314970573939621,1.4021573191648337e-05,-0.2995954894648258,-0.001257062031511806,-0.33506053842615596,-0.0020569993196277512,-0.42389028571349874,-0.002261302684146369,0.22615624995614603,0.19206203861316995,0.03409421134297608
13-1041.03,Equal Opportunity Representatives and Officers,13-1041,0.0007945871137667245,18.559999999999995,22.49,23.27,False,-0.008481472100617308,-7.58712865309088e-05,-0.0832696986843671,-0.0006962823962731401,-0.3379407200680583,-0.0027769715152532373,-0.34050251435166684,-0.0027213740804921025,0.22615624995614603,0.19206203861316995,0.03409421134297608
13-1041.04,Government Property Inspectors and Investigators,13-1041,0.0007945871137667245,18.559999999999995,22.49,23.27,False,-0.021334128167024652,-2.5098690891588225e-05,-0.25304325513726816,-0.00011507991179332804,-0.20940490266484343,-0.0007818289349997376,-0.2855095193034379,-0.0007378679152408424,0.22615624995614603,0.19206203861316995,0.03409421134297608
13-1041.06,Coroners,13-1041,0.0007945871137667245,18.559999999999995,22.49,23.27,False,-0.002210583502608301,-4.0264899266577015e-05,-0.007635653924805631,-0.00012427175337679426,-0.03677581979192627,-0.0006578065274604916,-0.03438844946786147,-0.0005704879618110238,0.22615624995614603,0.19206203861316995,0.03409421134297608
13-1041.07,Regulatory Affairs Specialists,13-1041,0.0007945871137667245,18.559999999999995,22.49,23.27,False,-0.01933675644428361,-6.297541535988884e-05,-0.2136414246009047,-0.0009316198514274375,-0.5666617935783639,-0.0026673312914209423,-0.5942281344494077,-0.002581051403860859,0.22615624995614603,0.19206203861316995,0.03409421134297608
13-1041.08,Customs Brokers,13-1041,0.0007945871137667245,18.559999999999995,22.49,23.27,False,-4.296665804945669e-06,2.41184517949133e-06,6.626953231707051e-05,-4.6162312728381974e-06,0.00031746769867285816,-4.88900614654053e-06,-0.001950140101341033,-5.9379694838985396e-05,0.22615624995614603,0.19206203861316995,0.03409421134297608
13-1051.00,Cost Estimators,13-1051,0.0012987451608046316,20.36,23.22,26.41,True,-0.021257999577929818,-5.852186778966607e-05,-0.2066594153293285,-0.0010120813385744083,-0.035045778564987175,-0.00024491866741136945,-0.12475597866441304,-0.0007805891991215138,0.2601705346267189,0.13144178458742362,0.1287287500392953
13-1071.00,Human Resources Specialists,13-1071,0.0011711909834730006,16.520000000000003,19.600000000000005,23.706913570481227,False,-0.00553728758580819,-0.00014201996163552732,-0.0761835311834938,-0.0016281574542905124,-0.11812686777605708,-0.002350364818978258,-0.1623992826550228,-0.003241484988762905,0.3611949493432798,0.17095779814363965,0.19023715119964013
13-1074.00,Farm Labor Contractors,13-1074,7.257503975513723e-05,6.71,7.789999999999999,14.39,True,0.001613089303760891,-7.344359462354422e-06,0.0012385704965223916,-1.0988945096437097e-06,0.0013270262127804734,8.194669841427783e-06,0.0012571668451683456,-2.1591146053186256e-09,0.762934569915686,0.1492419088990664,0.6136926610166196
13-1111.00,Management Analysts,13-1111,0.0019374828552748003,25.91,30.089999999999996,34.21,True,-0.02501636446353542,-0.0001273925269842932,-0.3767982299910003,-0.002358473345215096,-0.5337036347650984,-0.0031850495057768463,-0.6532112667990633,-0.0038154768222072827,0.2778890044154947,0.14956389606793508,0.1283251083475596
13-1121.00,"Meeting, Convention, and Event Planners",13-1121,0.0009738977359681381,17.318303238672495,20.159079707703512,26.544459998776496,False,-0.0034579199725562173,-6.114958350600043e-05,-0.02857419339229686,-0.00040077373017316726,-0.11897307008365114,-0.002045781870695335,-0.10682525300334139,-0.0017835462372781565,0.4270571300677859,0.1518908598409836,0.2751662702268023
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",13-1141,0.0005047381317251151,18.98,22.53000000000001,25.08,True,-0.008414183143547988,-8.809453766208396e-05,-0.07749127133372276,-0.0007227998180490753,-0.3608932008318458,-0.00392642719090725,-0.31813400181735735,-0.003034503363453757,0.2786849225829382,0.1714619612623718,0.10722296132056641
13-1151.00,Training and Development Specialists,13-1151,0.0012049003491852001,18.54,21.229999999999997,23.86,True,-0.005706344001170325,-7.565931555487459e-05,-0.054914302932967604,-0.0007152704006427548,-0.1766685232906121,-0.0022989741195013893,-0.22065811798270218,-0.002814555695013925,0.2522728565320609,0.13548471557745545,0.11678814095460543
13-1161.00,Market Research Analysts and Marketing Specialists,13-1161,0.0011985194176259118,19.387325604581893,23.14190103069312,27.098800621267724,False,-0.01645306232839381,-7.271820907446331e-05,-0.1492365234403941,-0.000644857674704576,-0.6893579164542016,-0.003986517805485661,-0.6378065466685136,-0.003139275353189075,0.3348699361767169,0.1770253386233267,0.1578445975533902
13-1161.01,Search Marketing Strategists,13-1161,0.0011985194176259118,19.387325604581893,23.14190103069312,27.098800621267724,False,-0.010905461096042481,-8.721762236998662e-05,-0.105585179717856,-0.0010637051951281008,-0.17177723136631975,-0.0017436208135936792,-0.26340273689705274,-0.002622410738982852,0.3348699361767169,0.1770253386233267,0.1578445975533902
13-2022.00,Appraisers of Personal and Business Property,13-2022,0.0003385116419129491,18.12,20.97000000000001,22.18,False,-0.016065349236776445,-7.068925628313515e-05,-0.06615201979874735,-0.0004290098257084201,-0.0017877407113837357,-2.7845971129100318e-05,-0.01672992007221036,-0.00012691425607431892,0.2021746813073877,0.14607654429899597,0.056098137008391724
13-2023.00,Appraisers and Assessors of Real Estate,13-2023,0.0003385116419129491,18.12,20.97000000000001,22.18,False,-0.016502785331844468,-7.331222306993274e-05,-0.1388931883253751,-0.0007288701226604204,-0.04610201996882349,-0.0003153607634509688,-0.12533848646115667,-0.0007431240130335183,0.2021746813073877,0.14607654429899597,0.056098137008391724
13-2031.00,Budget Analysts,13-2031,0.0003979380954247045,22.41,26.209999999999997,30.5,True,-0.009286885344716821,-7.643854829165634e-05,-0.08714158410006927,-0.0007004281795400754,-0.1893997573832622,-0.0015443877945406689,-0.2593550032259903,-0.002128506079249261,0.30821939580053037,0.15663372952247911,0.15158566627805126
13-2041.00,Credit Analysts,13-2041,0.0003969068337585569,17.96,21.65,26.239999999999995,True,-0.012111475724737288,-9.91755730389515e-05,-0.12667017043865855,-0.0009713747935969978,-0.13642952939385183,-0.0010639376229265496,-0.2791129461972983,-0.0020924952882015917,0.37913790120183455,0.18685839157444528,0.19227950962738927
13-2052.00,Personal Financial Advisors,13-2052,0.0005154374715113964,25.26,28.22,32.529999999999994,True,-0.0042733506980601535,-5.858238124741648e-05,-0.03529742894750283,-0.0003815406419179784,-0.2993900546396788,-0.0032784074627954,-0.22602790138089332,-0.0023321072967199498,0.2529406235629148,0.11080882950232285,0.14213179406059195
13-2053.00,Insurance Underwriters,13-2053,0.0006056728672993113,19.68999999999999,22.74999999999999,26.21999999999999,True,-0.015270919135265472,-9.407564380937038e-05,-0.1773318692491714,-0.001403291473814841,-0.10447281613989329,-0.000883169086183997,-0.26315162644498263,-0.0021272455077119275,0.28641158568451974,0.14445425274592516,0.14195733293859458
13-2061.00,Financial Examiners,13-2061,0.0001780859989728634,24.63,28.360000000000003,32.05,True,-0.01694989082831469,-8.522438459586372e-05,-0.16853248939582513,-0.001056524480723182,-0.5955596793807107,-0.003885488254026938,-0.5752621134507622,-0.0034873123707514714,0.2633319712342326,0.14101448953148044,0.12231748170275214
13-2071.00,Credit Counselors,13-2071,0.00014386100242758996,14.95,16.09,17.569999999999997,True,-0.00042037076882468554,-2.9510840727132342e-05,-0.0058104099627355275,-8.755825553270897e-05,-0.023782673981775602,-0.0003189839808500996,-0.0330388737361326,-0.0004042924376692563,0.16148160236231002,0.07348666116759617,0.08799494119471385
13-2072.00,Loan Officers,13-2072,0.001290237252058914,18.72000000000001,22.430000000000003,25.48,True,-0.0020785542262344815,-6.190309739369061e-05,-0.016381398270124213,-0.00028065393447587684,-0.018611210214268443,-0.0003305641515484297,-0.043465591407311474,-0.0007015041968957875,0.3083013596545161,0.18080687748267055,0.12749448217184556
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",13-2081,0.0004186922364559249,17.749999999999996,20.57,22.56,True,-0.004600843294434194,-0.00011681019809932879,-0.03977943744528466,-0.0007960714319717631,-0.03740196808312234,-0.0007519832610736263,-0.07923878950130918,-0.001548841431816229,0.23979291070843356,0.14744818774344104,0.09234472296499252
13-2082.00,Tax Preparers,13-2082,0.00037447689251984665,13.039999999999996,12.76,13.710000000000004,True,-0.002461342961437952,-4.570775528066667e-05,-0.005122145968897375,-0.00013814205894615683,-0.0032122582062528967,-0.0001064487300035384,-0.011187497815582504,-0.00027347094842562097,0.05010393707571659,-0.021706278581862914,0.0718102156575795
15-1211.00,Computer Systems Analysts,15-1211,0.002759978487881644,26.910000000000014,30.85,35.13999999999999,False,-0.021304202374618754,-6.148162138052896e-05,-0.29033993497621013,-0.0016290270519327258,-0.15584496372058665,-0.0008469817960755928,-0.2859218464164569,-0.0015731870661111552,0.2668421180201359,0.1366387856125817,0.13020333240755422
15-1211.01,Health Informatics Specialists,15-1211,0.002759978487881644,26.910000000000014,30.85,35.13999999999999,False,-0.02113708189269164,-7.09438067885709e-05,-0.1990042051604009,-0.0008369461404388404,-1.164737490682658,-0.004452560497704423,-0.8472562362601683,-0.0034494547955748263,0.2668421180201359,0.1366387856125817,0.13020333240755422
15-1212.00,Information Security Analysts,15-1212,0.0006337747477018334,25.239999999999995,28.42,32.79999999999999,False,-0.01311626738410214,-6.952142334473259e-05,-0.17556185111084266,-0.0015567742158035358,-0.105513844963054,-0.0006382922476678606,-0.2208935521966398,-0.0014736662130477689,0.2619984777170856,0.11866308499594247,0.14333539272114315
15-1221.00,Computer and Information Research Scientists,15-1221,0.000169384728664743,31.379999999999995,39.22999999999999,47.10000000000001,True,-0.021882096852522542,-0.0001933578942082287,-0.32245320290485235,-0.003386906179414462,-0.2996512275529583,-0.003087068281377047,-0.48088196217712675,-0.004992190408894851,0.4061022537174859,0.22327101291657447,0.1828312408009114
15-1231.00,Computer Network Support Specialists,15-1231,0.0006337747477018334,25.239999999999995,28.42,32.79999999999999,False,-0.02606059535008145,0.00027588620467521133,-0.3182960439824084,-0.003054413074724112,-0.0372260395092067,-0.0005976430830812363,-0.10680343657524481,-0.0016016177455981128,0.2619984777170856,0.11866308499594247,0.14333539272114315
15-1232.00,Computer User Support Specialists,15-1232,0.002983182184748465,17.540000000000003,18.96000000000001,20.39,True,-0.03638915539826247,0.0004917020457541986,-0.2472589080983986,-0.004924257287592768,-0.09531116650258983,-0.0018989932149590333,-0.19033201988697052,-0.003693722253575532,0.15056059764232677,0.07784750988283928,0.07271308775948748
15-1241.00,Computer Network Architects,15-1241,0.0033937532355834774,26.589953142085484,30.254246431599054,34.37952640952499,False,-0.021934868515542844,-0.00010241217705525168,-0.35993660795071136,-0.003158097389423251,-0.1280579390617951,-0.0010545994088540175,-0.25894516965564407,-0.0020364965868733763,0.25692778167088504,0.12910310951374893,0.1278246721571361
15-1241.01,Telecommunications Engineering Specialists,15-1241,0.0033937532355834774,26.589953142085484,30.254246431599054,34.37952640952499,False,-0.01952922056456559,-0.00012392743151663728,-0.34800313503291885,-0.0035803821414780355,-0.10130186638148012,-0.0011898475339900336,-0.18937277131919222,-0.0020371594910313265,0.25692778167088504,0.12910310951374893,0.1278246721571361
15-1242.00,Database Administrators,15-1242,0.0006539488040458458,23.830000000000013,27.980000000000004,32.32999999999999,False,-0.01642561138231531,-5.095768435271209e-05,-0.1552659917000009,-0.0008123619932535215,-0.12316985952933368,-0.0008846117867169665,-0.15820167048921346,-0.0009309111403113377,0.30505030062669025,0.16054467812668394,0.14450562250000631
15-1243.00,Database Architects,15-1243,0.0006539488040458458,23.830000000000013,27.980000000000004,33.56741978090857,False,-0.014581273459820488,-5.250140598996483e-05,-0.12309702574767944,-0.0007049520874225064,-0.16972747434154836,-0.0012130006768180848,-0.2430049543187917,-0.0015663130500187432,0.3426106560667126,0.16054467812668394,0.18206597794002866
15-1243.01,Data Warehousing Specialists,15-1243,0.0006539488040458458,23.830000000000013,27.980000000000004,33.56741978090857,False,-0.02294265234793781,-8.610083227536364e-05,-0.38811390528628764,-0.003621232070287461,-0.057603222326122284,-0.0004699894487326583,-0.17925392283689676,-0.0013883792190255097,0.3426106560667126,0.16054467812668394,0.18206597794002866
