onet_code,task_id,phi
11-2011.00,3238,0.5
11-2011.00,3237,0.5
11-2011.00,3223,0.5
11-2011.00,3243,0.5
11-2011.00,3233,0.5
11-2011.00,3229,0.5
11-2011.00,3239,0.5
11-2011.00,3234,0.5
11-2011.00,18586,0.5
11-2011.00,3228,0.5
11-2011.00,3235,0.5
11-2011.00,3241,0.5
11-2011.00,3240,0.5
11-2011.00,3236,0.5
11-2011.00,3245,0.0
11-2011.00,3244,0.5
11-2011.00,21217,0.5
11-2011.00,21218,0.5
11-2011.00,21219,0.0
11-2011.00,21220,0.5
11-2011.00,21221,0.5
11-2011.00,21222,0.5
11-2011.00,21223,0.5
11-2011.00,21224,0.5
11-2011.00,21225,0.5
11-2021.00,951,0.5
11-2021.00,20709,0.5
11-2021.00,952,0.5
11-2021.00,950,0.5
11-2021.00,957,1.0
11-2021.00,954,0.0
11-2021.00,956,0.5
11-2021.00,958,0.5
11-2021.00,955,0.5
11-2021.00,961,0.5
11-2021.00,963,0.5
11-2021.00,960,0.5
11-2021.00,964,0.5
11-2021.00,19502,0.5
11-2021.00,965,0.5
11-2021.00,19505,0.5
11-2021.00,962,0.5
11-2021.00,959,0.5
11-2021.00,19503,0.5
11-2021.00,19504,0.5
11-2022.00,3,0.5
11-2022.00,1,0.5
11-2022.00,5,0.5
11-2022.00,14,0.5
11-2022.00,4,0.5
11-2022.00,9,0.5
11-2022.00,2,0.5
11-2022.00,11,0.5
11-2022.00,6,0.5
11-2022.00,15,0.5
11-2022.00,8,0.5
11-2022.00,7,0.5
11-2022.00,10,0.0
11-2022.00,13,0.5
11-2022.00,17,0.5
11-2022.00,12,0.0
11-2022.00,16,0.5
11-2032.00,21226,0.5
11-2032.00,21227,0.5
11-2032.00,21228,0.5
11-2032.00,21229,0.5
11-2032.00,21230,0.5
11-2032.00,21231,0.5
11-2032.00,21232,1.0
11-2032.00,21233,0.0
11-2032.00,21234,0.5
11-2032.00,21235,0.5
11-2032.00,21236,0.5
11-2032.00,21237,0.5
11-2032.00,21238,0.5
11-2032.00,21239,0.5
11-2032.00,21240,0.5
11-2032.00,21241,0.5
11-2032.00,21242,0.5
11-2032.00,21243,0.5
11-2032.00,21244,1.0
11-2032.00,21245,1.0
11-2033.00,21246,0.5
11-2033.00,21247,0.5
11-2033.00,21248,0.5
11-2033.00,21249,0.5
11-2033.00,21250,1.0
11-2033.00,21251,0.5
11-2033.00,21252,0.5
11-2033.00,21253,0.5
11-2033.00,21254,0.5
11-2033.00,21255,0.5
11-2033.00,21256,0.5
11-2033.00,21257,0.5
11-2033.00,21258,0.5
11-2033.00,21259,0.5
11-2033.00,21260,0.5
11-2033.00,21261,1.0
11-3012.00,21,0.5
11-3012.00,20,0.5
11-3012.00,23,0.0
11-3012.00,22,0.5
11-3012.00,30,0.0
11-3012.00,24,0.5
11-3012.00,26,0.5
11-3012.00,19,0.5
11-3012.00,21262,0.5
11-3012.00,21263,0.5
11-3012.00,21264,0.5
11-3012.00,21265,1.0
11-3012.00,21266,1.0
11-3012.00,21267,0.0
11-3012.00,21268,0.5
11-3012.00,21269,0.5
11-3012.00,21270,0.0
11-3012.00,21271,0.0
11-3013.00,21272,0.5
11-3013.00,21273,0.0
11-3013.00,21274,0.0
11-3013.00,21275,0.5
11-3013.00,21276,0.0
11-3013.00,21277,0.5
11-3013.00,21278,0.0
11-3013.00,21279,0.5
11-3013.00,21280,0.5
11-3013.00,21281,0.5
11-3013.00,21282,0.5
11-3013.01,21283,0.5
11-3013.01,21284,0.5
11-3013.01,21285,0.5
11-3013.01,21286,0.5
11-3013.01,21287,0.5
11-3013.01,21288,0.5
11-3013.01,21289,0.5
11-3013.01,21290,0.5
11-3013.01,21291,0.5
11-3013.01,21292,0.5
11-3013.01,21293,0.5
11-3013.01,21294,0.5
11-3013.01,21295,0.5
11-3013.01,21296,0.5
11-3013.01,21297,0.5
11-3013.01,21298,0.5
11-3013.01,21299,0.0
11-3013.01,21300,0.5
11-3013.01,21301,0.5
11-3013.01,21302,0.5
11-3013.01,21303,1.0
11-3013.01,21304,0.5
11-3013.01,21305,0.0
11-3013.01,21306,0.5
11-3013.01,21307,0.5
11-3013.01,21308,0.5
11-3013.01,21309,0.0
11-3013.01,21310,1.0
11-3021.00,968,0.5
11-3021.00,975,0.0
11-3021.00,978,0.5
11-3021.00,969,1.0
11-3021.00,15198,0.5
11-3021.00,971,0.5
11-3021.00,977,0.5
11-3021.00,970,0.5
11-3021.00,967,0.5
11-3021.00,976,0.5
11-3021.00,973,0.5
11-3021.00,972,1.0
11-3021.00,980,0.5
11-3021.00,979,0.5
11-3021.00,974,0.5
11-3021.00,981,0.5
11-3021.00,966,0.5
11-3031.00,21311,0.5
11-3031.00,21319,0.5
11-3031.00,21312,0.5
11-3031.00,21313,0.5
11-3031.00,21315,0.5
11-3031.00,21316,0.5
11-3031.00,21327,0.5
11-3031.00,21322,0.5
11-3031.00,21321,0.5
11-3031.00,21318,0.5
11-3031.00,21320,0.5
11-3031.00,21317,0.5
11-3031.00,21323,0.5
11-3031.00,21325,0.0
11-3031.00,21314,0.5
11-3031.00,21328,0.5
11-3031.00,21326,0.5
11-3031.00,21324,0.5
11-3031.00,21330,0.5
11-3031.00,21331,0.5
11-3031.00,21329,0.5
11-3031.01,8870,0.5
11-3031.01,8858,0.5
11-3031.01,8864,0.5
11-3031.01,20168,0.5
11-3031.01,8861,0.5
11-3031.01,8866,0.5
11-3031.01,8865,0.5
11-3031.01,8872,0.0
11-3031.01,8856,0.5
11-3031.01,8863,0.5
11-3031.01,8867,0.5
11-3031.01,8860,0.5
11-3031.01,8868,0.5
11-3031.01,8859,0.5
11-3031.01,8869,0.5
11-3031.01,8871,0.5
11-3031.01,8855,0.5
11-3031.01,8857,0.5
11-3031.01,8874,0.5
11-3031.01,8873,0.5
11-3031.01,20169,0.5
11-3031.01,8875,0.5
11-3031.03,15678,0.5
11-3031.03,15679,0.5
11-3031.03,15669,0.5
11-3031.03,15676,0.5
11-3031.03,15675,0.5
11-3031.03,15667,0.5
11-3031.03,15668,0.5
11-3031.03,15664,0.5
11-3031.03,15671,0.5
11-3031.03,15665,0.5
11-3031.03,15660,0.5
11-3031.03,15674,0.5
11-3031.03,15662,0.5
11-3031.03,15670,0.5
11-3031.03,15673,0.5
11-3031.03,15677,0.5
11-3031.03,15661,0.5
11-3031.03,15666,0.5
11-3031.03,15672,0.5
11-3031.03,15663,0.5
11-3051.00,39,0.5
11-3051.00,32,0.5
11-3051.00,34,0.5
11-3051.00,35,0.5
11-3051.00,36,0.0
11-3051.00,40,0.5
11-3051.00,38,1.0
11-3051.00,41,0.5
11-3051.00,33,0.5
11-3051.00,44,0.5
11-3051.00,43,0.5
11-3051.00,37,0.5
11-3051.00,45,0.5
11-3051.00,21332,0.5
11-3051.00,21333,0.5
11-3051.00,21334,0.5
11-3051.00,21335,0.5
11-3051.00,21336,0.5
11-3051.00,21337,0.5
11-3051.00,21338,0.5
11-3051.00,21339,0.0
11-3051.01,15405,0.0
11-3051.01,15415,1.0
11-3051.01,15430,0.5
11-3051.01,15414,0.5
11-3051.01,15428,0.5
11-3051.01,15413,0.5
11-3051.01,15429,0.5
11-3051.01,15431,0.5
11-3051.01,15421,0.5
11-3051.01,15424,0.5
11-3051.01,15417,0.5
11-3051.01,15420,0.5
11-3051.01,15411,0.5
11-3051.01,15416,0.5
11-3051.01,15427,0.5
11-3051.01,15418,0.5
11-3051.01,15422,0.5
11-3051.01,15425,0.5
11-3051.01,15423,1.0
11-3051.01,15407,0.5
11-3051.01,15410,0.5
11-3051.01,15408,0.5
11-3051.01,15419,0.5
11-3051.01,15426,0.5
11-3051.01,15409,0.5
11-3051.01,15406,0.5
11-3051.01,15412,0.0
11-3051.02,15446,0.0
11-3051.02,15447,0.5
11-3051.02,15434,1.0
11-3051.02,15443,0.5
11-3051.02,15439,0.0
11-3051.02,15448,0.0
11-3051.02,15445,0.5
11-3051.02,15433,0.5
11-3051.02,15444,0.5
11-3051.02,15436,1.0
11-3051.02,15441,1.0
11-3051.02,15432,0.5
11-3051.02,15442,0.5
11-3051.02,15437,0.5
11-3051.02,15440,0.5
11-3051.02,15438,0.5
11-3051.02,15435,0.0
11-3051.03,15454,0.0
11-3051.03,15462,0.5
11-3051.03,15450,0.5
11-3051.03,15453,0.5
11-3051.03,15456,0.5
11-3051.03,15458,0.0
11-3051.03,15461,0.0
11-3051.03,15449,0.5
11-3051.03,15455,0.0
11-3051.03,15451,0.0
11-3051.03,15452,0.0
11-3051.03,15460,0.5
11-3051.03,15457,0.5
11-3051.03,15459,0.5
11-3051.04,21162,0.5
11-3051.04,15471,0.5
11-3051.04,15470,0.5
11-3051.04,15468,0.0
11-3051.04,15478,0.0
11-3051.04,15480,0.0
11-3051.04,15474,0.5
11-3051.04,15473,0.5
11-3051.04,15477,0.5
11-3051.04,15476,0.5
11-3051.04,15472,0.5
11-3051.04,15464,0.5
11-3051.04,15465,0.0
11-3051.04,15469,0.0
11-3051.04,15466,1.0
11-3051.04,15479,0.5
11-3051.04,15467,0.0
11-3051.04,15463,0.0
11-3051.04,15475,0.0
11-3051.06,15520,0.0
11-3051.06,15515,0.5
11-3051.06,15512,1.0
11-3051.06,15509,0.0
11-3051.06,15513,0.0
11-3051.06,15514,0.0
11-3051.06,15519,0.5
11-3051.06,15508,0.5
11-3051.06,15518,0.5
11-3051.06,15504,0.5
11-3051.06,15503,0.0
11-3051.06,15505,0.0
11-3051.06,15507,0.5
11-3051.06,15506,0.5
11-3051.06,15516,0.5
11-3051.06,15502,0.5
11-3051.06,15510,0.0
11-3051.06,15517,0.5
11-3051.06,15511,0.5
11-3061.00,1030,0.5
11-3061.00,21039,0.5
11-3061.00,1027,1.0
11-3061.00,1033,0.5
11-3061.00,1032,0.5
11-3061.00,1021,0.5
11-3061.00,1024,0.0
11-3061.00,1022,0.5
11-3061.00,1031,0.5
11-3061.00,1023,0.5
11-3061.00,1025,1.0
11-3061.00,1029,0.5
11-3061.00,1035,1.0
11-3061.00,1020,1.0
11-3061.00,1026,0.5
11-3061.00,1028,0.5
11-3061.00,1034,0.5
11-3061.00,1036,0.5
11-3071.00,21340,0.5
11-3071.00,21341,0.5
11-3071.00,21342,0.0
11-3071.00,21343,0.5
11-3071.00,21344,0.5
11-3071.00,21345,0.5
11-3071.00,21346,0.5
11-3071.00,21347,1.0
11-3071.00,21348,0.5
11-3071.00,21349,0.5
11-3071.00,21350,0.5
11-3071.00,21351,0.5
11-3071.00,21352,0.5
11-3071.00,21353,0.5
11-3071.00,21354,0.5
11-3071.00,21355,0.0
11-3071.00,21356,0.5
11-3071.00,21357,0.5
11-3071.00,21358,0.5
11-3071.00,21359,0.5
11-3071.00,21360,0.5
11-3071.00,21361,0.5
11-3071.00,21362,0.5
11-3071.00,21363,0.5
11-3071.00,21364,0.5
11-3071.00,21365,0.5
11-3071.00,21366,0.5
11-3071.00,21367,0.5
11-3071.00,21368,0.5
11-3071.00,21369,0.5
11-3071.04,20942,0.5
11-3071.04,20943,0.5
11-3071.04,15680,0.5
11-3071.04,15695,0.5
11-3071.04,20944,0.5
11-3071.04,15700,0.5
11-3071.04,15694,0.5
11-3071.04,15696,0.5
11-3071.04,15685,0.5
11-3071.04,15697,0.5
11-3071.04,20945,0.5
11-3071.04,15701,0.5
11-3071.04,15688,0.5
11-3071.04,20946,0.5
11-3071.04,15698,0.5
11-3071.04,20947,0.5
11-3071.04,15693,0.5
11-3071.04,19541,0.5
11-3071.04,15692,0.5
11-3071.04,15691,0.5
11-3071.04,15681,0.5
11-3071.04,19542,0.5
11-3071.04,19543,0.5
11-3071.04,19546,0.5
11-3071.04,19540,0.5
11-3071.04,20948,0.5
11-3071.04,19545,0.5
11-3071.04,20949,0.0
11-3071.04,19539,0.5
11-3071.04,19544,0.5
11-3111.00,3272,0.5
11-3111.00,3273,0.5
11-3111.00,3268,0.5
11-3111.00,3276,0.5
11-3111.00,3274,0.5
11-3111.00,3267,1.0
11-3111.00,3285,0.5
11-3111.00,3283,1.0
11-3111.00,3290,0.5
11-3111.00,3270,0.0
11-3111.00,3271,0.5
11-3111.00,3287,0.5
11-3111.00,3275,0.5
11-3111.00,3279,0.5
11-3111.00,3266,0.5
11-3111.00,3280,0.5
11-3111.00,3286,1.0
11-3111.00,3281,0.5
11-3111.00,3288,0.5
11-3111.00,3278,0.5
11-3111.00,3277,0.5
11-3111.00,3269,0.0
11-3111.00,3282,0.0
11-3111.00,3289,0.5
11-3121.00,990,0.5
11-3121.00,987,0.5
11-3121.00,988,0.5
11-3121.00,986,0.5
11-3121.00,998,0.0
11-3121.00,999,0.5
11-3121.00,983,0.5
11-3121.00,991,0.5
11-3121.00,1000,0.5
11-3121.00,985,0.5
11-3121.00,997,0.5
11-3121.00,982,0.5
11-3121.00,994,0.5
11-3121.00,995,0.5
11-3121.00,984,0.5
11-3121.00,1003,0.5
11-3121.00,989,0.0
11-3121.00,992,0.5
11-3121.00,1004,0.5
11-3121.00,993,0.5
11-3121.00,1001,0.5
11-3121.00,996,1.0
11-3121.00,1002,0.5
11-3121.00,1005,0.5
11-3121.00,1007,0.5
11-3121.00,1006,0.5
11-3131.00,1015,0.5
11-3131.00,1009,0.5
11-3131.00,1014,0.5
11-3131.00,1019,0.5
11-3131.00,1012,0.5
11-3131.00,1013,1.0
11-3131.00,1010,0.5
11-3131.00,1017,0.0
11-3131.00,1008,0.5
11-3131.00,1011,0.5
11-3131.00,1016,0.5
11-3131.00,1018,0.5
11-9013.00,21370,0.5
11-9013.00,21371,0.0
11-9013.00,21372,0.0
11-9013.00,21373,0.0
11-9013.00,21374,0.5
11-9013.00,21375,0.5
11-9013.00,21376,0.5
11-9013.00,21377,0.5
11-9013.00,21378,1.0
11-9013.00,21379,0.0
11-9013.00,21380,0.5
11-9013.00,21381,0.5
11-9013.00,21382,0.0
11-9013.00,21383,0.5
11-9013.00,21384,0.0
11-9013.00,21385,0.5
11-9013.00,21386,0.5
11-9013.00,21387,0.5
11-9013.00,21388,0.0
11-9013.00,21389,0.5
11-9013.00,21390,0.5
11-9013.00,21391,0.5
11-9013.00,21392,0.5
11-9013.00,21393,0.5
11-9013.00,21394,0.5
11-9013.00,21395,0.5
11-9013.00,21396,0.0
11-9013.00,21397,0.5
11-9013.00,21398,0.5
11-9013.00,21399,0.5
11-9021.00,20332,0.5
11-9021.00,3326,0.5
11-9021.00,20336,1.0
11-9021.00,20340,0.0
11-9021.00,20334,0.5
11-9021.00,3314,0.0
11-9021.00,3315,0.5
11-9021.00,3323,0.5
11-9021.00,3318,0.5
11-9021.00,20333,0.5
11-9021.00,20335,0.5
11-9021.00,3327,0.5
11-9021.00,3325,0.5
11-9021.00,3317,0.5
11-9021.00,20339,0.0
11-9021.00,19522,0.5
11-9021.00,19523,0.5
11-9021.00,19520,0.5
11-9021.00,20337,0.5
11-9021.00,20338,0.5
11-9021.00,19518,0.5
11-9021.00,19524,0.5
11-9021.00,19519,0.5
11-9021.00,19521,0.5
11-9021.00,3331,0.0
11-9031.00,5193,0.0
11-9031.00,5196,0.5
11-9031.00,5198,0.5
11-9031.00,5204,0.0
11-9031.00,5195,0.5
11-9031.00,5202,0.5
11-9031.00,5197,0.5
11-9031.00,5199,0.5
11-9031.00,5194,0.5
11-9031.00,5200,0.5
11-9031.00,5201,0.5
11-9031.00,5203,0.5
11-9031.00,5207,0.5
11-9031.00,5208,0.5
11-9031.00,5206,1.0
11-9031.00,5205,0.5
11-9031.00,5209,0.5
11-9032.00,5222,0.5
11-9032.00,5226,0.5
11-9032.00,5215,0.0
11-9032.00,5232,0.5
11-9032.00,5221,0.5
11-9032.00,5224,0.5
11-9032.00,5212,0.0
11-9032.00,5225,0.0
11-9032.00,21040,0.5
11-9032.00,5223,0.5
11-9032.00,18587,0.5
11-9032.00,18588,0.5
11-9032.00,5219,0.5
11-9032.00,5234,0.5
11-9032.00,5213,0.5
11-9032.00,5231,0.5
11-9032.00,5210,0.5
11-9032.00,5220,0.5
11-9032.00,5228,0.5
11-9032.00,5229,0.5
11-9032.00,5214,0.5
11-9032.00,5216,0.0
11-9032.00,5211,0.5
11-9032.00,18592,0.0
11-9032.00,5227,0.5
11-9032.00,18591,0.5
11-9032.00,5218,0.5
11-9032.00,18590,0.5
11-9032.00,5217,0.0
11-9032.00,18589,0.5
11-9032.00,5230,1.0
11-9032.00,5233,0.5
11-9033.00,21041,0.5
11-9033.00,5235,0.5
11-9033.00,18594,0.5
11-9033.00,18593,0.5
11-9033.00,5236,0.5
11-9033.00,18595,0.5
11-9033.00,5240,0.5
11-9033.00,5239,0.5
11-9033.00,5237,0.0
11-9033.00,21042,0.5
11-9033.00,18596,0.0
11-9033.00,5238,0.0
11-9033.00,5243,0.5
11-9033.00,5242,0.5
11-9033.00,5244,0.5
11-9033.00,5246,0.5
11-9033.00,5249,0.5
11-9033.00,5245,0.5
11-9033.00,5248,1.0
11-9033.00,5250,0.5
11-9033.00,5255,0.5
11-9033.00,5241,0.5
11-9033.00,5253,0.5
11-9033.00,5259,0.5
11-9033.00,5254,0.5
11-9033.00,18597,0.5
11-9033.00,5258,0.5
11-9033.00,5256,0.5
11-9033.00,18598,0.5
11-9041.00,20170,0.5
11-9041.00,20171,0.5
11-9041.00,1071,0.5
11-9041.00,20172,0.5
11-9041.00,1070,0.5
11-9041.00,1060,0.0
11-9041.00,20173,0.5
11-9041.00,20175,0.5
11-9041.00,20176,0.5
11-9041.00,20178,0.5
11-9041.00,20174,0.5
11-9041.00,20177,0.5
11-9041.00,19525,0.5
11-9041.00,19527,0.5
11-9041.00,1063,0.5
11-9041.00,19528,0.5
11-9041.00,20180,0.5
11-9041.00,19526,0.5
11-9041.00,20179,0.5
11-9041.00,1073,0.5
11-9041.00,1074,0.5
11-9041.01,15574,0.5
11-9041.01,15578,0.5
11-9041.01,15567,0.5
11-9041.01,15566,0.5
11-9041.01,15580,0.5
11-9041.01,15576,0.0
11-9041.01,15568,0.5
11-9041.01,15563,0.0
11-9041.01,15579,0.5
11-9041.01,15577,0.0
11-9041.01,15572,0.5
11-9041.01,15565,0.5
11-9041.01,15569,0.5
11-9041.01,15581,0.5
11-9041.01,15564,1.0
11-9041.01,15570,0.0
11-9041.01,15575,1.0
11-9041.01,15573,0.0
11-9041.01,15571,1.0
11-9051.00,1085,1.0
11-9051.00,1078,0.5
11-9051.00,1090,0.5
11-9051.00,1080,0.0
11-9051.00,1079,0.5
11-9051.00,1084,0.5
11-9051.00,1083,0.5
11-9051.00,15199,0.0
11-9051.00,1086,0.5
11-9051.00,1089,0.0
11-9051.00,1098,0.0
11-9051.00,1077,0.0
11-9051.00,1082,0.5
11-9051.00,1096,0.5
11-9051.00,1093,0.5
11-9051.00,1091,0.5
11-9051.00,1088,0.5
11-9051.00,1095,0.5
11-9051.00,1092,0.5
11-9051.00,1094,0.5
11-9051.00,1097,0.0
11-9051.00,1081,0.5
11-9051.00,1087,0.5
11-9051.00,1103,0.5
11-9051.00,1102,0.5
11-9051.00,1100,0.5
11-9051.00,1099,0.5
11-9051.00,1101,1.0
11-9071.00,7186,0.0
11-9071.00,7189,0.0
11-9071.00,7190,1.0
11-9071.00,7196,1.0
11-9071.00,7185,0.5
11-9071.00,20472,0.5
11-9071.00,7193,1.0
11-9071.00,7197,1.0
11-9071.00,7187,1.0
11-9071.00,7191,0.5
11-9071.00,7199,0.5
11-9071.00,7188,0.5
11-9071.00,7192,0.5
11-9071.00,7194,0.5
11-9071.00,7195,0.5
11-9071.00,7200,0.0
11-9071.00,7201,1.0
11-9071.00,7198,0.5
11-9071.00,7202,0.0
11-9072.00,21400,0.0
11-9072.00,21401,0.5
11-9072.00,21402,0.5
11-9072.00,21403,0.0
11-9072.00,21404,1.0
11-9072.00,21405,0.0
11-9072.00,21406,0.5
11-9072.00,21407,0.0
11-9072.00,21408,0.5
11-9072.00,21409,0.0
11-9072.00,21410,0.5
11-9072.00,21411,0.0
11-9072.00,21412,1.0
11-9072.00,21413,0.0
11-9072.00,21414,0.0
11-9072.00,21415,0.5
11-9072.00,21416,1.0
11-9081.00,1105,0.5
11-9081.00,1108,0.5
11-9081.00,1109,0.0
11-9081.00,1104,0.5
11-9081.00,18599,0.5
11-9081.00,1111,0.5
11-9081.00,1113,0.0
11-9081.00,1112,0.5
11-9081.00,1107,0.5
11-9081.00,1116,0.5
11-9081.00,1106,0.5
11-9081.00,1123,0.5
11-9081.00,1118,0.5
11-9081.00,1119,0.5
11-9081.00,18600,0.5
11-9081.00,1115,0.5
11-9081.00,1117,1.0
11-9081.00,1114,0.5
11-9081.00,1121,0.5
11-9081.00,1122,0.5
11-9081.00,1125,0.0
11-9081.00,1120,0.5
11-9081.00,1124,0.5
11-9081.00,1126,0.5
11-9111.00,46,0.5
11-9111.00,49,0.5
11-9111.00,58,0.5
11-9111.00,51,0.5
11-9111.00,55,0.5
11-9111.00,52,0.5
11-9111.00,54,0.5
11-9111.00,48,0.5
11-9111.00,56,0.5
11-9111.00,53,0.0
11-9111.00,47,0.5
11-9111.00,50,0.5
11-9111.00,61,0.5
11-9111.00,57,0.5
11-9111.00,62,0.5
11-9111.00,59,0.0
11-9111.00,63,0.5
11-9111.00,60,0.0
11-9121.00,7209,0.5
11-9121.00,7207,0.5
11-9121.00,7205,0.5
11-9121.00,7208,0.5
11-9121.00,7203,0.5
11-9121.00,7204,0.5
11-9121.00,7210,0.5
11-9121.00,7206,1.0
11-9121.00,7211,0.5
11-9121.00,7215,0.5
11-9121.00,7217,0.5
11-9121.00,7214,1.0
11-9121.00,7212,0.5
11-9121.00,7218,0.5
11-9121.00,7213,0.5
11-9121.00,7216,0.5
11-9121.01,15612,0.5
11-9121.01,15587,0.0
11-9121.01,15610,0.5
11-9121.01,15595,1.0
11-9121.01,15602,0.5
11-9121.01,15594,0.5
11-9121.01,15613,0.5
11-9121.01,15597,0.5
11-9121.01,15614,0.5
11-9121.01,15603,0.5
11-9121.01,15593,0.5
11-9121.01,15608,0.5
11-9121.01,15592,0.5
11-9121.01,15609,1.0
11-9121.01,15605,0.0
11-9121.01,15601,0.5
11-9121.01,15600,1.0
11-9121.01,15585,0.5
11-9121.01,15598,0.5
11-9121.01,15606,0.5
11-9121.01,15596,0.5
11-9121.01,15591,0.5
11-9121.01,15607,0.5
11-9121.01,15583,0.5
11-9121.01,15599,0.0
11-9121.01,15589,1.0
11-9121.01,15604,0.5
11-9121.01,15611,0.5
11-9121.01,15588,0.5
11-9121.01,15590,0.5
11-9121.01,15584,1.0
11-9121.01,15582,0.5
11-9121.01,15586,0.5
11-9121.02,15618,0.5
11-9121.02,15633,0.5
11-9121.02,15631,0.5
11-9121.02,15634,0.5
11-9121.02,15630,0.5
11-9121.02,15616,0.5
11-9121.02,15624,0.5
11-9121.02,15628,0.5
11-9121.02,15621,1.0
11-9121.02,15632,0.5
11-9121.02,15623,0.5
11-9121.02,15620,0.5
11-9121.02,15627,0.5
11-9121.02,15635,0.5
11-9121.02,15619,0.5
11-9121.02,15622,0.5
11-9121.02,15629,0.5
11-9121.02,15615,0.0
11-9121.02,15617,0.5
11-9121.02,15626,0.5
11-9121.02,15625,0.5
11-9131.00,20842,0.5
11-9131.00,5260,0.5
11-9131.00,5262,0.5
11-9131.00,5264,0.5
11-9131.00,5261,0.5
11-9131.00,5263,0.5
11-9131.00,5265,1.0
11-9131.00,5266,0.5
11-9131.00,5270,0.5
11-9131.00,5269,1.0
11-9131.00,5268,0.0
11-9131.00,5267,0.0
11-9131.00,5271,0.5
11-9141.00,7228,0.5
11-9141.00,7224,0.5
11-9141.00,7223,0.5
11-9141.00,7220,0.5
11-9141.00,7241,0.5
11-9141.00,7229,0.5
11-9141.00,7234,0.5
11-9141.00,7231,0.5
11-9141.00,7236,0.5
11-9141.00,7222,0.5
11-9141.00,7221,0.5
11-9141.00,7226,0.5
11-9141.00,7238,0.0
11-9141.00,7232,0.5
11-9141.00,7230,0.5
11-9141.00,7239,0.5
11-9141.00,7235,0.5
11-9141.00,7233,0.5
11-9141.00,7240,0.0
11-9141.00,7227,0.5
11-9141.00,7237,0.0
11-9141.00,7219,0.0
11-9141.00,7245,0.5
11-9141.00,7225,0.5
11-9141.00,7243,0.5
11-9141.00,7242,0.5
11-9141.00,7244,0.5
11-9151.00,1131,0.5
11-9151.00,1129,0.0
11-9151.00,1130,0.5
11-9151.00,1132,0.5
11-9151.00,1128,1.0
11-9151.00,18463,0.0
11-9151.00,1127,0.0
11-9151.00,1135,0.5
11-9151.00,1133,0.5
11-9151.00,18464,0.5
11-9151.00,1139,0.5
11-9151.00,1134,0.0
11-9151.00,1138,0.5
11-9151.00,1137,0.5
11-9151.00,1136,0.5
11-9151.00,1141,0.5
11-9161.00,7253,0.5
11-9161.00,7260,0.5
11-9161.00,7254,0.5
11-9161.00,7257,0.5
11-9161.00,7258,0.0
11-9161.00,7272,0.5
11-9161.00,7261,0.5
11-9161.00,7266,0.5
